预置主题：
| 主题                | 职业/角色                                    | 对应关键词                                                                                  |
| ----------------- | ---------------------------------------- | -------------------------------------------------------------------------------------- |
| 医疗健康｜慢病随访         | 全科医生、慢病管理护士、健康管理师、患者本人、患者家属              | 慢病管理、复诊提醒、用药依从、血糖血压、指标异常、随访计划、健康干预、病情变化、生活方式、风险预警                                      |
| 人力资源与招聘｜招聘补岗      | HRBP、招聘专员、用人部门负责人、部门经理、候选人               | 岗位空缺、补岗需求、候选人筛选、面试安排、HC 申请、紧急招聘、到岗周期、招聘进度、用人部门、offer 沟通                                |
| 娱乐/媒体｜艺人商业化       | 经纪人、商务负责人、品牌市场经理、艺人统筹、法务                 | 商务合作、艺人报价、品牌代言、商业价值、粉丝画像、档期协调、宣发资源、合作权益、曝光量、ROI 评估                                     |
| 建筑与工程行业｜项目交付      | 项目经理、工程总监、施工负责人、监理、甲方代表                  | 工程进度、交付节点、施工质量、验收标准、延期风险、成本控制、分包管理、现场协调、材料到货、竣工验收                                      |
| 汽车行业｜车型投放         | 产品经理、区域销售经理、市场经理、经销商负责人、运营分析师            | 新车上市、车型规划、投放节奏、渠道铺货、竞品分析、试驾转化、销售目标、区域策略、用户画像、价格策略                                      |
| 咨询/专业服务｜客户拓展      | 咨询顾问、客户经理、合伙人、行业专家、售前顾问                  | 客户线索、商机挖掘、需求诊断、方案建议、客户拜访、合作机会、项目报价、决策链路、行业痛点、转化跟进                                      |
| 法律服务｜法顾专项         | 法务经理、外部律师、企业负责人、合同专员、合规顾问                | 法律顾问、专项服务、合同审查、合规咨询、风险提示、争议处理、法律意见、客户需求、服务边界、交付成果                                      |
| 金融/投资｜资产配置        | 理财顾问、投资经理、私人银行顾问、客户本人、风控顾问               | 投资组合、风险偏好、资产分散、收益目标、市场波动、基金配置、股票债券、流动性管理、再平衡、长期规划                                      |
| 零售行业｜会员复购         | 会员运营、门店店长、数据分析师、市场经理、客服主管                | 会员运营、复购率、优惠券、消费频次、用户分层、积分权益、沉睡唤醒、私域触达、客单价、复购转化                                         |
| 保险行业｜保险质检         | 质检专员、保险顾问、销售主管、合规经理、培训讲师                 | 话术合规、销售录音、质检规则、误导销售、风险提示、客户确认、保单说明、回访检查、违规判定、整改建议                                      |
| 房地产｜项目去化          | 项目营销总、置业顾问、渠道经理、策划经理、案场经理                | 去化率、楼盘销售、客户到访、成交转化、价格策略、渠道分销、库存压力、认购签约、竞品楼盘、促销政策                                       |
| 人工智能/科技｜付费转化      | 产品经理、增长运营、数据分析师、用户研究员、客服负责人              | 免费试用、订阅转化、功能触达、用户留存、付费意愿、价格套餐、权益说明、转化漏斗、使用频次、增值服务                                      |
| 制造业｜产线提效          | 生产主管、工艺工程师、设备工程师、质量工程师、厂长                | 产线效率、设备稼动率、瓶颈工序、良品率、工时优化、排产计划、异常停机、自动化改造、产能提升、降本增效                                     |
| 娱乐/媒体｜战略周会        | 内容运营、增长负责人、商业化负责人、数据分析师、产品经理             | 内容策略、平台增长、商业化进展、重点项目、数据复盘、资源协调、风险事项、下周计划、用户增长、战略目标                                     |
| 法律服务｜广告合规         | 法务、广告投放经理、品牌经理、合规专员、内容审核员                | 广告审查、合规风险、宣传用语、资质要求、极限词、误导宣传、法务审核、监管要求、投放素材、整改建议                                       |
| 保险行业｜销售洞察         | 销售经理、保险顾问、数据分析师、培训负责人、产品经理               | 销售线索、客户画像、成交原因、拒保原因、异议处理、产品匹配、转化路径、销售话术、保费贡献、渠道表现                                      |
| 测试开发｜支付接入与交易链路    | 测试负责人、测试工程师、后端开发、支付研发、第三方支付对接人、产品经理、项目经理 | 支付接入、第三方支付、接口联调、参数签名、支付网关、渠道配置、沙箱环境、证书配置、下单接口、订单创建、支付回调、状态同步、异步通知、幂等处理                 |
| 测试开发｜退款与资金安全      | 测试工程师、风控工程师、后端开发、财务、产品经理、支付研发            | 退款申请、退款审核、原路退回、重复退款、越权退款、金额校验、退款状态、风控拦截、退款回调、资金安全、异常退款、权限校验                            |
| 测试开发｜对账与稳定性准入     | 性能测试工程师、测试工程师、财务对账专员、后端开发、SRE、架构师、项目负责人  | 账单核对、交易流水、金额不一致、漏单、多单、渠道账单、差错处理、补偿机制、容量评估、性能基线、错误率、响应时间、熔断限流、发布门禁                      |
| 测试开发｜朋友圈内容发布与多端分发 | 测试工程师、客户端开发、前端开发、小程序开发、后端开发、产品经理、内容运营    | 动态发布、内容流展示、发布入口、文本发布、图片视频、草稿保存、发布失败、内容校验、App 端、Web 端、小程序端、多端同步、消息分发、状态一致、数据同步          |
| 测试开发｜社交互动与状态一致性   | 测试工程师、客户端开发、后端开发、产品经理、数据工程师              | 点赞评论、点赞一致、评论同步、计数准确、状态回显、取消操作、重复点击、并发互动、互动通知、消息通知、数据刷新、端间一致、多端展示                       |
| 测试开发｜隐私权限与内容审核    | 测试工程师、隐私合规专员、内容审核员、风控策略、算法工程师、后端开发、产品经理  | 朋友圈可见、好友关系、权限控制、隐私设置、可见范围、仅自己可见、好友可见、分组可见、黑名单、屏蔽用户、权限校验、敏感词检测、图片审核、视频审核、人工复审、违规内容、审核拦截 |
